  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+016  4.098E-007  2.470E-013  1.199E-014  1.832E-014  7.201E-012  8.500E-002  2.455E-012  2.700E-016  1.956E-021  5.249E-013
   1.122E+016  1.292E-006  2.995E-013  1.497E-014  2.306E-014  8.748E-012  8.500E-002  3.017E-012  3.398E-016  3.038E-021  6.197E-013
   1.259E+016  4.147E-006  3.634E-013  1.840E-014  2.903E-014  1.063E-011  8.500E-002  3.707E-012  4.278E-016  5.656E-021  7.315E-013
   1.413E+016  1.251E-005  4.411E-013  2.176E-014  3.654E-014  1.291E-011  8.500E-002  4.553E-012  5.384E-016  1.289E-020  8.637E-013
   1.585E+016  3.482E-005  5.362E-013  2.374E-014  4.599E-014  1.569E-011  8.500E-002  5.594E-012  6.778E-016  3.330E-020  1.021E-012
   1.778E+016  8.937E-005  6.539E-013  2.277E-014  5.789E-014  1.908E-011  8.500E-002  6.879E-012  8.531E-016  8.539E-020  1.211E-012
   1.995E+016  2.128E-004  8.024E-013  1.889E-014  7.287E-014  2.325E-011  8.500E-002  8.474E-012  1.074E-015  1.972E-019  1.446E-012
   2.239E+016  4.733E-004  9.958E-013  1.412E-014  9.171E-014  2.841E-011  8.500E-002  1.048E-011  1.351E-015  4.060E-019  1.758E-012
   2.512E+016  9.899E-004  1.260E-012  1.018E-014  1.154E-013  3.491E-011  8.500E-002  1.303E-011  1.700E-015  7.889E-019  2.231E-012
   2.818E+016  1.958E-003  1.643E-012  7.569E-015  1.452E-013  4.324E-011  8.500E-002  1.634E-011  2.139E-015  1.523E-018  3.127E-012
   3.162E+016  3.684E-003  2.240E-012  6.160E-015  1.826E-013  5.412E-011  8.500E-002  2.069E-011  2.689E-015  2.930E-018  5.284E-012
   3.548E+016  6.620E-003  3.246E-012  5.717E-015  2.295E-013  6.866E-011  8.500E-002  2.648E-011  3.378E-015  5.475E-018  1.143E-011
   3.981E+016  1.141E-002  5.084E-012  6.070E-015  2.882E-013  8.837E-011  8.500E-002  3.424E-011  4.237E-015  9.772E-018  3.044E-011
   4.467E+016  1.893E-002  8.789E-012  7.208E-015  3.612E-013  1.149E-010  8.500E-002  4.479E-011  5.304E-015  1.687E-017  9.139E-011
   5.012E+016  3.031E-002  1.747E-011  9.704E-015  4.517E-013  1.496E-010  8.500E-002  6.017E-011  6.618E-015  2.923E-017  2.964E-010
   5.623E+016  4.695E-002  4.200E-011  1.566E-014  5.630E-013  1.847E-010  8.500E-002  8.508E-011  8.224E-015  5.373E-017  1.043E-009
   6.310E+016  7.047E-002  1.248E-010  2.820E-014  6.981E-013  1.909E-010  8.500E-002  1.271E-010  1.016E-014  1.041E-016  3.958E-009
   7.079E+016  1.026E-001  4.694E-010  5.287E-014  8.599E-013  1.579E-010  8.500E-002  2.011E-010  1.245E-014  2.031E-016  1.665E-008
   7.943E+016  1.451E-001  2.053E-009  8.917E-014  1.050E-012  1.215E-010  8.500E-002  3.212E-010  1.512E-014  3.482E-016  7.424E-008
   8.913E+016  1.994E-001  8.100E-009  1.197E-013  1.266E-012  1.059E-010  8.500E-002  4.728E-010  1.815E-014  4.662E-016  2.874E-007
   1.000E+017  2.661E-001  2.263E-008  1.347E-013  1.503E-012  1.036E-010  8.500E-002  6.351E-010  2.144E-014  5.120E-016  8.187E-007
   1.122E+017  3.451E-001  4.565E-008  1.426E-013  1.749E-012  1.021E-010  8.500E-002  8.238E-010  2.483E-014  5.198E-016  1.784E-006
   1.259E+017  4.344E-001  7.676E-008  1.508E-013  1.981E-012  9.472E-011  8.500E-002  1.062E-009  2.807E-014  5.231E-016  3.296E-006
