  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   2.512E+016  4.928E+004  1.578E+001  3.078E+000  1.345E-002  1.114E-014  0.000E+000  0.000E+000  1.930E+003
   2.818E+016  3.914E+004  1.456E+001  2.743E+000  2.018E-002  1.877E-014  0.000E+000  0.000E+000  1.930E+003
   3.162E+016  3.109E+004  1.343E+001  2.445E+000  2.913E-002  3.045E-014  0.000E+000  0.000E+000  1.930E+003
   3.548E+016  2.470E+004  1.239E+001  2.179E+000  4.062E-002  4.858E-014  0.000E+000  0.000E+000  1.931E+003
   3.981E+016  1.962E+004  1.143E+001  1.942E+000  5.488E-002  7.291E-014  0.000E+000  0.000E+000  1.931E+003
   4.467E+016  1.558E+004  1.055E+001  1.731E+000  7.209E-002  1.081E-013  0.000E+000  0.000E+000  1.931E+003
   5.012E+016  1.238E+004  1.000E+001  1.543E+000  9.229E-002  1.534E-013  0.000E+000  0.000E+000  1.931E+003
   5.623E+016  9.832E+003  1.000E+001  1.375E+000  1.154E-001  2.151E-013  0.000E+000  0.000E+000  1.931E+003
   6.310E+016  7.810E+003  1.000E+001  1.225E+000  1.414E-001  2.966E-013  0.000E+000  0.000E+000  1.932E+003
   7.079E+016  6.204E+003  1.000E+001  1.092E+000  1.699E-001  3.998E-013  0.000E+000  0.000E+000  1.932E+003
   7.943E+016  4.928E+003  1.000E+001  9.733E-001  2.007E-001  5.304E-013  0.000E+000  0.000E+000  1.932E+003
   8.913E+016  3.914E+003  1.000E+001  8.675E-001  2.334E-001  6.941E-013  0.000E+000  0.000E+000  1.932E+003
   1.000E+017  3.109E+003  1.000E+001  7.731E-001  2.677E-001  9.032E-013  0.000E+000  0.000E+000  1.932E+003
   1.122E+017  2.470E+003  1.000E+001  6.890E-001  3.031E-001  1.153E-012  0.000E+000  0.000E+000  1.932E+003
   1.259E+017  1.962E+003  1.000E+001  6.141E-001  3.393E-001  1.467E-012  0.000E+000  0.000E+000  1.932E+003
   1.413E+017  1.558E+003  1.000E+001  5.473E-001  3.760E-001  1.852E-012  0.000E+000  0.000E+000  1.932E+003
   1.585E+017  1.238E+003  1.000E+001  4.878E-001  4.127E-001  2.334E-012  0.000E+000  0.000E+000  1.932E+003
