  88 H           C2H-        C2H2        e-                    1.60E-09    0.0       0.0
  89 H           C3-         C3H         e-                    7.70E-09    0.0       0.0
  90 H           C3H-        H2CCC       e-                    1.00E-10    0.0       0.0
  91 H           C3N-        HC3N        e-                    5.40E-10    0.0       0.0
  92 H           C4-         C4H         e-                    6.20E-10    0.0       0.0
  93 H           C4H-        HC4H        e-                    8.30E-10    0.0       0.0
  94 H           C5-         C5H         e-                    6.20E-10    0.0       0.0
  95 H           C5H-        C5H2        e-                    1.00E-09    0.0       0.0
  96 H           C5N-        HC5N        e-                    5.80E-10    0.0       0.0
  97 H           C6-         C6H         e-                    6.10E-10    0.0       0.0
  98 H           C6H-        C6H2        e-                    5.00E-10    0.0       0.0
  99 H           C7-         C7H         e-                    2.83E-10    0.0       0.0
 100 H           C7H-        C7H2        e-                    7.40E-10    0.0       0.0
 101 H           C8-         C8H         e-                    2.41E-10    0.0       0.0
 102 H           C8H-        C8H2        e-                    1.00E-09    0.0       0.0
 103 H           C9-         C9H         e-                    1.22E-10    0.0       0.0
 104 H           C9H-        C9H2        e-                    1.00E-09    0.0       0.0
 105 H           CH-         CH2         e-                    1.00E-10    0.0       0.0
 106 H           CN-         HCN         e-                    6.30E-10    0.0       0.0
 107 H           O-          OH          e-                    5.00E-10    0.0       0.0
 108 H           OH-         H2O         e-                    1.40E-09    0.0       0.0
 109 H           S-          HS          e-                    1.00E-10    0.0       0.0
 110 N           C2-         C2N         e-                    1.15E-10    0.0       0.0
 111 N           C2H-        C2N         H           e-        3.00E-12    0.0       0.0
 112 N           C3-         C3N         e-                    1.00E-10    0.0       0.0
 113 N           C3H-        HC3N        e-                    5.00E-12    0.0       0.0
 114 N           C4-         C4N         e-                    1.00E-10    0.0       0.0
 115 N           C4H-        CN          C3H         e-        3.00E-12    0.0       0.0
 116 N           C5-         C5N         e-                    1.35E-10    0.0       0.0
 117 N           C5H-        HC5N        e-                    5.00E-12    0.0       0.0
 118 N           C7-         C7N         e-                    1.10E-10    0.0       0.0
 119 N           C7H-        HC7N        e-                    5.00E-12    0.0       0.0
 120 N           C9-         C9N         e-                    1.00E-10    0.0       0.0
 121 N           C9H-        HC9N        e-                    5.00E-12    0.0       0.0
 122 N           O-          NO          e-                    2.20E-10    0.0       0.0
 123 N           S-          NS          e-                    1.00E-10    0.0       0.0
 124 O-          CO          CO2         e-                    6.50E-10    0.0       0.0
 125 O-          NO          NO2         e-                    3.10E-10   -0.8       0.0
 126 O-          O           O2          e-                    1.90E-10    0.0       0.0
 127 O2          S-          SO2         e-                    3.00E-11    0.0       0.0
 128 O           C2-         C2O         e-                    2.90E-10    0.0       0.0
 129 O           C2H-        C2O         H           e-        3.10E-10    0.0       0.0
 130 O           C3N-        CO          C2N         e-        5.00E-10    0.0       0.0
 131 O           C5N-        CO          C4N         e-        5.00E-10    0.0       0.0
 132 O           S-          SO          e-                    1.00E-10    0.0       0.0
 133 H+          HNC         HCN         H+                    1.00E-09    0.0       0.0
 134 H2          CH          C           H2          H         6.00E-09    0.0   40200.0
 135 H2          H2          H2          H           H         1.00E-08    0.0   84100.0
 136 H2          H2O         OH          H2          H         5.80E-09    0.0   52900.0
 137 H2          HOC+        HCO+        H2                    3.80E-10    0.0       0.0
 138 H2          O2          O           O           H2        6.00E-09    0.0   52300.0
 139 H2          OH          O           H2          H         6.00E-09    0.0   50900.0
 140 H2          e-          H           H           e-        3.22E-09    0.3  102000.0
 141 H           CH          C           H           H         6.00E-09    0.0   40200.0
 142 H           H2          H           H           H         4.67E-07   -1.0   55000.0
 143 H           H2O         OH          H           H         5.80E-09    0.0   52900.0
 144 H           O2          O           O           H         6.00E-09    0.0   52300.0
 145 H           OH          O           H           H         6.00E-09    0.0   50900.0
 146 O2-         O2          O2          O2          e-        7.00E-10    0.0       0.0
 147 C+          C10H        C10H+       C                     5.00E-09   -0.5       0.0
 148 C+          C2H4        C2H4+       C                     1.70E-11    0.0       0.0
 149 C+          C2H5        C2H5+       C                     5.00E-10    0.0       0.0
 150 C+          C2H5OH      C2H5OH+     C                     1.50E-09   -0.5       0.0
 151 C+          C2O         C2O+        C                     1.00E-09   -0.5       0.0
 152 C+          C2S         C2S+        C                     5.00E-10   -0.5       0.0
 153 C+          C3O         C3O+        C                     3.33E-10   -0.5       0.0
 154 C+          C3S         C3S+        C                     5.00E-10   -0.5       0.0
 155 C+          C4H3        C4H3+       C                     3.10E-10    0.0       0.0
 156 C+          C4S         C4S+        C                     5.00E-10   -0.5       0.0
 157 C+          C6H6        C6H6+       C                     1.61E-09    0.0       0.0
 158 C+          CCP         CCP+        C                     5.00E-10   -0.5       0.0
 159 C+          CCl         CCl+        C                     1.00E-09    0.0       0.0
 160 C+          CH2         CH2+        C                     5.20E-10    0.0       0.0
 161 C+          CH2CCH2     C3H4+       C                     2.10E-10    0.0       0.0
 162 C+          CH2CCH      CH2CCH+     C                     1.00E-09   -0.5       0.0
 163 C+          CH2CN       CH2CN+      C                     2.00E-09   -0.5       0.0
 164 C+          CH2CO       CH2CO+      C                     2.00E-09   -0.5       0.0
 165 C+          CH3CCH      C3H4+       C                     5.70E-10    0.0       0.0
 166 C+          CH3CHCH2    C3H6+       C                     2.00E-10    0.0       0.0
 167 C+          CH3CHO      CH3CHO+     C                     1.50E-09   -0.5       0.0
 168 C+          CH3COCH3    CH3COCH3+   C                     4.15E-09   -0.5       0.0
 169 C+          CH3OCH3     CH3OCH3+    C                     2.00E-09   -0.5       0.0
 170 C+          CH          CH+         C                     3.80E-10   -0.5       0.0
 171 C+          CP          CP+         C                     1.00E-09    0.0       0.0
 172 C+          ClO         ClO+        C                     1.00E-09   -0.5       0.0
 173 C+          Fe          Fe+         C                     2.60E-09    0.0       0.0
 174 C+          H2CO        H2CO+       C                     7.80E-10   -0.5       0.0
 175 C+          H2S         H2S+        C                     6.00E-10   -0.5       0.0
 176 C+          H2SiO       H2SiO+      C                     2.00E-09   -0.5       0.0
 177 C+          HC4H        C4H2+       C                     1.31E-09    0.0       0.0
 178 C+          HCO         HCO+        C                     4.80E-10   -0.5       0.0
 179 C+          HCOOCH3     COOCH4+     C                     3.00E-09   -0.5       0.0
 180 C+          HCP         HCP+        C                     5.00E-10    0.0       0.0
 181 C+          HPO         HPO+        C                     1.00E-09   -0.5       0.0
 182 C+          Mg          Mg+         C                     1.10E-09    0.0       0.0
 183 C+          NCCN        C2N+        CN                    2.00E-10    0.0       0.0
 184 C+          NCCN        CNC+        CN                    1.70E-09    0.0       0.0
 185 C+          NH3         NH3+        C                     6.72E-10   -0.5       0.0
 186 C+          NO          NO+         C                     7.05E-10   -0.0     -16.7
 187 C+          NS          NS+         C                     7.60E-10   -0.5       0.0
